APN,SitusAddress
12-958-18,860 37TH ST OAKLAND 94608
12-958-15-2,846 37TH ST OAKLAND 94608
12-957-29,939 W MACARTHUR BLVD OAKLAND 94608
12-956-14,951 APGAR ST OAKLAND 94608
12-956-12,963 APGAR ST OAKLAND 94608
12-956-38,972 W MACARTHUR BLVD OAKLAND 94608
12-956-10,971 APGAR ST OAKLAND 94608
12-956-41,980 W MACARTHUR BLVD OAKLAND 94608
12-956-36,958 W MACARTHUR BLVD OAKLAND 94608
12-955-33,959 40TH ST OAKLAND 94608
12-955-39,929 40TH ST OAKLAND 94608
12-955-10,934 39TH ST OAKLAND 94608
12-955-1,901 40TH ST OAKLAND 94608
12-955-71,941 39TH ST OAKLAND 94608
12-954-5,1010 YERBA BUENA AVE OAKLAND 94608
12-953-21-1,1025 YERBA BUENA AVE OAKLAND 94608
12-953-3,1000 39TH ST OAKLAND 94608
12-952-6,988 APGAR ST OAKLAND 94608
12-951-6,1050 37TH ST OAKLAND 94608
12-950-13,1033 37TH ST OAKLAND 94608
12-950-3-1,993 37TH ST OAKLAND 94608
12-950-6,1059 37TH ST OAKLAND 94608
12-950-12,1032 36TH ST OAKLAND 94608
12-949-29,949 37TH ST OAKLAND 94608
12-948-28,871 37TH ST OAKLAND 94608
12-948-31,859 37TH ST OAKLAND 94608
12-948-5-1,3609 WEST ST OAKLAND 94608
12-948-16-2,874 36TH ST OAKLAND 94608
12-947-28,3650 WEST ST OAKLAND 94608
12-947-29,3656 WEST ST OAKLAND 94608
12-947-20-2,740 36TH ST OAKLAND 94609
12-947-34,711 37TH ST OAKLAND 94609
12-947-15-2,706 36TH ST OAKLAND 94609
12-947-13-2,694 36TH ST OAKLAND 94609
12-946-22,537 37TH ST OAKLAND 94609
12-946-18,555 37TH ST OAKLAND 94609
12-945-18,476 37TH ST OAKLAND 94609
12-945-33,475 W MACARTHUR BLVD OAKLAND 94609
12-945-31,487 W MACARTHUR BLVD OAKLAND 94609
12-944-46,443 37TH ST OAKLAND 94609
12-944-9,438 36TH ST OAKLAND 94609
12-944-51,429 37TH ST OAKLAND 94609
12-944-55,411 37TH ST OAKLAND 94609
12-944-49,435 37TH ST OAKLAND 94609
12-944-18,474 36TH ST OAKLAND 94609
12-944-5,418 36TH ST OAKLAND 94609
12-944-40,467 37TH ST OAKLAND 94609
12-944-44,451 37TH ST OAKLAND 94609
12-944-19,476 36TH ST OAKLAND 94609
12-944-53,421 37TH ST OAKLAND 94609
12-944-20,478 36TH ST OAKLAND 94609
12-944-57,3621 WEBSTER ST OAKLAND 94609
12-938-30,3772 LEIGHTON ST OAKLAND 94611
12-938-24,168 MOSS WAY OAKLAND 94611
12-938-17,91 YOSEMITE AVE OAKLAND 94611
12-938-6,37 YOSEMITE AVE OAKLAND 94611
12-938-7,41 YOSEMITE AVE OAKLAND 94611
12-938-14,83 YOSEMITE AVE OAKLAND 94611
12-937-9,54 YOSEMITE AVE OAKLAND 94611
12-937-1,95 RIO VISTA AVE OAKLAND 94611
12-937-16,24 YOSEMITE AVE OAKLAND 94611
12-936-12,52 RIO VISTA AVE OAKLAND 94611
12-935-54,53 MONTE VISTA AVE OAKLAND 94611
12-935-26,3922 WILDA AVE OAKLAND 94611
12-935-63,127 MONTE VISTA AVE OAKLAND 94611
12-935-42,36 MONTELL ST OAKLAND 94611
12-934-2-1,241 MONTE VISTA AVE OAKLAND 94611
12-934-9-1,663 FAIRMOUNT AVE OAKLAND 94611
12-932-11,571 EL DORADO AVE OAKLAND 94611
12-932-12,565 EL DORADO AVE OAKLAND 94611
12-932-15,638 FAIRMOUNT AVE OAKLAND 94611
12-930-9,3912 HARRISON ST OAKLAND 94611
12-929-3,269 MONTE VISTA AVE OAKLAND 94611
12-929-4,275 MONTE VISTA AVE OAKLAND 94611
12-1021-8,922 40TH ST OAKLAND 94608
12-1020-11,942 41ST ST OAKLAND 94608
12-1020-7,912 41ST ST OAKLAND 94608
12-1020-15-1,968 41ST ST OAKLAND 94608
12-1019-25,870 41ST ST OAKLAND 94608
12-1019-1,4139 LUSK ST OAKLAND 94608
12-1018-5,830 40TH ST OAKLAND 94608
12-1018-4,4011 LUSK ST OAKLAND 94608
12-1018-1,4029 LUSK ST OAKLAND 94608
12-1017-5,801 42ND ST OAKLAND 94608
12-1017-26,828 40TH ST OAKLAND 94608
12-1017-6,4137 WEST ST OAKLAND 94608
12-1017-21,802 40TH ST EMERYVILLE 94608
12-1015-16,4028 WEST ST OAKLAND 94608
12-1014-22,4124 WEST ST OAKLAND 94608
12-1013-5,510 41ST ST OAKLAND 94609
12-1013-8,528 41ST ST OAKLAND 94609
12-1011-15,478 40TH ST OAKLAND 94609
12-1011-30,449 41ST ST OAKLAND 94609
12-1010-74,438 RICH ST OAKLAND 94609
12-1010-73,432 RICH ST OAKLAND 94609
12-1010-45,476 41ST ST OAKLAND 94609
12-1010-47,482 41ST ST OAKLAND 94609
12-1010-46,478 41ST ST OAKLAND 94609
12-1010-27,429 RICH ST OAKLAND 94609
12-1009-16,404 41ST ST OAKLAND 94609
12-1009-13,4123 SHAFTER AVE OAKLAND 94609
12-1009-3,4193 SHAFTER AVE OAKLAND 94609
12-1007-6,413 41ST ST OAKLAND 94609
